A;B;mag1;mag2;couple_mag;union_product;commun_reappro1
143;41;143;41;(143, 41);120;78
143;32;143;32;(143, 32);118;78
143;145;145;143;(143, 145);116;78
143;22;143;22;(143, 22);123;78
143;13;143;13;(143, 13);120;78
143;205;205;143;(143, 205);118;52
143;6;143;6;(143, 6);117;72
143;130;143;130;(143, 130);118;78
143;45;143;45;(143, 45);119;77
143;46;143;46;(143, 46);122;78
143;164;164;143;(143, 164);118;76
143;27;143;27;(143, 27);118;78
143;67;143;67;(143, 67);119;78
143;12;143;12;(143, 12);121;78
143;112;143;112;(143, 112);118;77
143;154;154;143;(143, 154);118;78
143;162;162;143;(143, 162);120;78
143;76;143;76;(143, 76);132;74
143;3;143;3;(143, 3);116;78
143;84;143;84;(143, 84);133;77
143;179;179;143;(143, 179);128;77
143;152;152;143;(143, 152);119;68
143;61;143;61;(143, 61);132;76
143;63;143;63;(143, 63);118;72
143;142;143;142;(143, 142);125;77
143;191;191;143;(143, 191);120;75
143;10;143;10;(143, 10);121;78
143;89;143;89;(143, 89);132;75
143;187;187;143;(143, 187);120;78
143;174;174;143;(143, 174);118;78
143;297;297;143;(143, 297);120;78
143;39;143;39;(143, 39);117;78
143;185;185;143;(143, 185);121;78
143;115;143;115;(143, 115);119;78
143;78;143;78;(143, 78);117;77
143;4;143;4;(143, 4);118;77
143;189;189;143;(143, 189);132;78
143;199;199;143;(143, 199);117;78
143;25;143;25;(143, 25);116;78
143;51;143;51;(143, 51);121;76
143;294;294;143;(143, 294);121;78
143;298;298;143;(143, 298);117;77
143;146;146;143;(143, 146);119;75
143;59;143;59;(143, 59);122;78
143;30;143;30;(143, 30);117;78
143;159;159;143;(143, 159);116;78
143;23;143;23;(143, 23);134;78
143;26;143;26;(143, 26);116;77
143;72;143;72;(143, 72);120;78
143;155;155;143;(143, 155);120;78
143;18;143;18;(143, 18);118;78
143;88;143;88;(143, 88);135;78
143;194;194;143;(143, 194);118;77
143;180;180;143;(143, 180);118;78
143;293;293;143;(143, 293);129;76
143;173;173;143;(143, 173);127;78
144;5;144;5;(144, 5);124;78
144;133;144;133;(144, 133);116;77
144;49;144;49;(144, 49);123;80
144;292;292;144;(144, 292);120;80
144;171;171;144;(144, 171);115;79
144;52;144;52;(144, 52);136;78
144;296;296;144;(144, 296);115;79
144;80;144;80;(144, 80);113;80
144;28;144;28;(144, 28);115;79
144;137;144;137;(144, 137);118;77
144;75;144;75;(144, 75);116;80
144;53;144;53;(144, 53);119;80
144;24;144;24;(144, 24);113;80
144;43;144;43;(144, 43);117;77
144;40;144;40;(144, 40);118;79
144;66;144;66;(144, 66);132;79
144;198;198;144;(144, 198);115;80
144;110;144;110;(144, 110);130;78
144;74;144;74;(144, 74);132;79
144;190;190;144;(144, 190);116;80
144;172;172;144;(144, 172);130;80
144;69;144;69;(144, 69);115;79
144;161;161;144;(144, 161);127;80
144;165;165;144;(144, 165);114;80
144;60;144;60;(144, 60);124;80
144;131;144;131;(144, 131);112;79
144;181;181;144;(144, 181);131;80
144;139;144;139;(144, 139);115;80
144;111;144;111;(144, 111);126;80
144;20;144;20;(144, 20);117;79
144;19;144;19;(144, 19);120;76
144;82;144;82;(144, 82);129;80
144;21;144;21;(144, 21);115;79
144;192;192;144;(144, 192);119;81
144;48;144;48;(144, 48);116;80
144;160;160;144;(144, 160);115;79
144;295;295;144;(144, 295);120;79
144;140;144;140;(144, 140);132;77
144;77;144;77;(144, 77);114;80
144;167;167;144;(144, 167);116;78
144;135;144;135;(144, 135);115;79
144;81;144;81;(144, 81);130;80
144;50;144;50;(144, 50);114;79
144;168;168;144;(144, 168);126;80
144;196;196;144;(144, 196);114;53
144;183;183;144;(144, 183);115;79
144;116;144;116;(144, 116);122;79
144;186;186;144;(144, 186);119;80
144;184;184;144;(144, 184);117;80
144;178;178;144;(144, 178);114;79
144;188;188;144;(144, 188);113;79
144;157;157;144;(144, 157);115;81
144;54;144;54;(144, 54);130;80
144;15;144;15;(144, 15);120;79
144;156;156;144;(144, 156);134;77
144;11;144;11;(144, 11);112;80
144;73;144;73;(144, 73);115;79
144;169;169;144;(144, 169);114;80
144;16;144;16;(144, 16);121;77
144;64;144;64;(144, 64);113;77
144;56;144;56;(144, 56);112;79
144;47;144;47;(144, 47);114;80
144;193;193;144;(144, 193);116;79
144;29;144;29;(144, 29);126;79
144;151;151;144;(144, 151);131;78
144;175;175;144;(144, 175);115;80
144;150;150;144;(144, 150);137;80
144;158;158;144;(144, 158);112;80
144;55;144;55;(144, 55);126;79
144;148;148;144;(144, 148);118;77
144;176;176;144;(144, 176);126;79
144;182;182;144;(144, 182);122;63
